ZipCode,
30319,2.4
30022,2.23
30075,2.2
30309,1.99
30062,1.98
30306,1.94
30004,1.74
30024,1.2
30305,1.53
30338,1.45
30342,1.46
30328,1.38
30318,1.37
30043,1.35
30080,1.33
30324,1.31
30030,1.29
30068,1.22
30327,1.21
30041,1.19
30033,1.16
30040,1.16
30076,1.16
30066,1.13
30307,1.01
30345,1.05
30047,1.04
30064,0.99
30127,0.99
30097,0.98
30005,0.97
30092,0.94
30044,0.93
30341,0.9
30308,0.89
30188,0.87
30152,0.87
30019,0.86
30350,0.84
30331,0.83
30087,0.81
30096,0.8
30084,0.79
30067,0.79
30126,0.77
30135,0.77
30101,0.76
30316,0.75
30269,0.75
30144,0.75
30052,0.75
30312,0.74
30339,0.73
30082,0.71
30518,0.69
30281,0.66
30329,0.65
30215,0.65
30252,0.64
30189,0.63
30519,0.63
30349,0.62
30114,0.61
30078,0.59
30253,0.57
30506,0.54
30039,0.54
30115,0.53
30034,0.47
30214,0.46
30294,0.46
30017,0.45
30009,0.45
30157,0.44
30058,0.43
30317,0.42
30102,0.41
30094,0.41
30265,0.41
